關山站     營業時間 : 07:00-21:00,台東縣關山鎮和平路24號,089-811124,07:00-21:00
府前路站     營業時間 : 07:00-21:00,台南市中西區府前路二段256號,06-2971568,07:00-21:00
中華西路南站     營業時間 : 00:00-24:00,台南市中西區中華西路二段2號,06-2970350,00:00-24:00
文賢路站     營業時間 : 00:00-24:00,台南市中西區文賢路229號,06-2591749,00:00-24:00
安平古堡站     營業時間 : 07:00-21:00,台南市中西區西賢里31鄰民權路四段730號,06-3587703,07:00-21:00
仁德站     營業時間 : 00:00-24:00,台南市仁德區中山路505號,06-2794451,00:00-24:00
六甲站     營業時間 : 07:00-21:00,台南市六甲區水林里中山路446號,06-6982404,07:00-21:00
成功路站     營業時間 : 00:00-24:00,台南市北區成功路16號,06-2222894,00:00-24:00
前鋒站     營業時間 : 00:00-24:00,台南市北區前鋒路283號,06-2082162,00:00-24:00
公園路站     營業時間 : 00:00-24:00,台南市北區公園路721號,06-2517454,00:00-24:00
永華路東     營業時間 : 00:00-24:00,台南市安平區永華路二段216號,06-2992048,00:00-24:00
育平路站     營業時間 : 07:00-21:00,台南市安平區育平路80號,06-2933845,07:00-21:00
慶平路站     營業時間 : 07:00-21:00,台南市安平區慶平路485號,06-2970189,07:00-21:00
安順站     營業時間 : 00:00-24:00,台南市安南區安中路一段650號,06-2569187,00:00-24:00
安中路站     營業時間 : 07:00-21:00,台南市安南區安中路四段446號,06-2569825,07:00-21:00
佳里仁愛路站     營業時間 : 07:00-21:00,台南市佳里區仁愛路67號,06-7229504,07:00-21:00
隆田站     營業時間 : 07:00-21:00,台南市官田區隆本里中華路二段23號,06-5791257,07:00-21:00
東山服務區站     營業時間 : 00:00-24:00,台南市東山區科里里枋子林74-6號,06-6234287,00:00-24:00
東門路站     營業時間 : 07:00-22:00,台南市東區東門路二段39號,06-2371994,07:00-22:00
灣裡站     營業時間 : 07:00-21:00,台南市南區明興路1081號,06-2626810,07:00-21:00
大同路站     營業時間 : 00:00-24:00,台南市南區大同路二段380號,06-2153503,00:00-24:00
後壁站     營業時間 : 07:00-21:00,台南市後壁區後壁里42號,06-6871004,07:00-21:00
柳營站     營業時間 : 07:00-21:00,台南市柳營區柳營路三段300號,06-6222041,07:00-21:00
麻豆站     營業時間 : 07:00-22:00,台南市麻豆區中山路13號,06-5722254,07:00-22:00
善化站     營業時間 : 07:00-21:00,台南市善化區中山路368號,06-5817264,07:00-21:00
中油南科站     營業時間 : 07:00-21:00,台南市新市區南科二路3號,06-5051229,07:00-21:00
歸仁站     營業時間 : 07:00-22:00,台南市歸仁區中山路三段201號,06-2301003,07:00-22:00
三星站     營業時間 : 07:00-21:00,宜蘭縣三星鄉三星路四段235號,039-892219,07:00-21:00
大同站     營業時間 : 08:00-18:00,宜蘭縣大同鄉崙埤村泰雅路1段92號,039-801181,08:00-18:00
羅東站     營業時間 : 00:00-24:00,宜蘭縣五結鄉中正路二段94號,03-9654651,00:00-24:00
九份站     營業時間 : 07:00-21:00,宜蘭縣冬山鄉冬山路五段165號,039-584810,07:00-21:00
宜蘭站     營業時間 : 00:00-24:00,宜蘭縣宜蘭市中山路五段139號,03-9282621,00:00-24:00
礁溪站     營業時間 : 07:00-22:00,宜蘭縣礁溪鄉礁溪路六段28號,039-882170,07:00-22:00
蘇澳站     營業時間 : 07:00-22:00,宜蘭縣蘇澳鎮中山路一段196號,03-9963524,07:00-22:00
馬賽站     營業時間 : 07:00-22:00,宜蘭縣蘇澳鎮蘇濱路二段459號,03-9905422,07:00-22:00
玉里站     營業時間 : 07:00-21:00,花蓮縣玉里鎮大同路219號,03-8882307,07:00-21:00
馬太鞍站     營業時間 : 07:00-21:00,花蓮縣光復鄉林森路300號,03-8700125,07:00-21:00
巨豐站     營業時間 : 07:00-22:00,花蓮縣吉安鄉勝安村和平路一段45號,03-8462947,07:00-22:00
南埔站     營業時間 : 00:00-24:00,花蓮縣吉安鄉仁和村中正路二段6號,03-8522853,00:00-24:00
太魯閣站     營業時間 : 07:00-19:00,花蓮縣秀林鄉富世村154-1號,03-8611009,07:00-19:00
和平站     營業時間 : 07:00-21:00,花蓮縣秀林鄉和平村和平路32-1號,03-8681261,07:00-21:00
中山路站     營業時間 : 00:00-24:00,花蓮縣花蓮市中山路752號,03-8561117,00:00-24:00
港口站     營業時間 : 07:00-21:00,花蓮縣花蓮市吉林路2號,03-8228640,07:00-21:00
中華路站     營業時間 : 07:00-22:00,花蓮縣花蓮市中華路333號,03-8323424,07:00-22:00
富里站     營業時間 : 07:00-21:00,花蓮縣富里鄉石牌村中興路85號,038-831285,07:00-21:00
北埔站     營業時間 : 00:00-24:00,花蓮縣新城鄉北埔村北埔路368號,03-8266825,00:00-24:00
壽豐站     營業時間 : 07:00-21:00,花蓮縣壽豐鄉壽豐路一段1號,03-8655891,07:00-21:00
南投三和站     營業時間 : 00:00-24:00,南投縣南投市三和里中興路549號,049-2227255,00:00-24:00
南投服務區站     營業時間 : 00:00-24:00,南投縣南投市南鄉路250巷142弄8號,049-2204987,00:00-24:00
